,IELTS_R,IELTS_L,IELTS_S,IELTS_W,IELTS_Z
247,8,7.5,6.5,6,7
248,8,7.5,6.5,6,7
249,0,0,0,0,0
250,0,0,0,0,0
251,0,0,0,0,0
252,0,0,0,0,0
253,0,0,0,0,7
254,0,0,0,0,7
255,0,0,0,0,0
256,0,0,0,0,0
257,0,0,0,0,0
258,0,0,0,0,0
259,0,0,0,0,0
260,0,0,0,0,0
261,0,0,0,0,0
262,7.5,6,5.5,6,6.5
263,8.5,8,7,6.5,7.5
264,8.5,8,7,6.5,7.5
265,0,0,0,0,0
266,0,0,0,0,0
267,0,0,0,0,0
268,0,0,0,0,0
269,0,0,0,0,0
270,0,0,0,0,0
271,0,0,0,0,0
272,0,0,0,0,7.5
273,0,0,0,0,7.5
274,0,0,0,0,0
275,0,0,0,0,0
276,0,0,0,0,0
277,0,0,0,0,0
278,0,0,0,0,0
279,0,0,0,0,0
280,0,0,0,0,0
281,0,0,0,0,0
282,0,0,0,0,0
283,0,0,0,6.5,7.5
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,5.5,6,5.5,5,5.5
288,7.5,7,6,6.5,7
289,7.5,7,6,6.5,7
290,7.5,7,6,6.5,7
291,7.5,7,6,6.5,7
292,7.5,7,6,6.5,7
293,7.5,7,6,6.5,7
294,7.5,7,6,6.5,7
295,7.5,7,6,6.5,7
296,0,0,0,0,7
297,0,0,0,0,7
298,0,0,0,0,7
299,0,0,0,0,0
300,0,0,0,0,7
301,0,0,0,0,7
302,0,0,0,0,7
303,0,0,0,0,0
304,0,0,0,0,6.5
305,0,0,0,0,6.5
306,0,0,0,0,0
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,0,0
310,0,0,0,0,0
311,0,0,0,0,0
312,0,0,0,0,0
313,0,0,0,0,0
314,0,0,0,0,0
315,0,0,0,0,0
316,0,0,0,0,0
317,0,0,0,0,0
318,0,0,0,0,0
319,0,0,0,0,0
320,6,7.5,6,6,6.5
321,0,0,0,0,0
322,0,0,0,0,0
323,0,0,0,0,7
324,0,0,0,0,0
325,0,0,0,0,0
326,7.5,8.5,7.5,6.5,7.5
327,6.5,7.5,6,6.5,6.5
328,6.5,7.5,6,6.5,6.5
329,6.5,7.5,6,6.5,6.5
330,6.5,7.5,6,6.5,6.5
331,0,0,0,0,0
332,6.5,7,6,6,6.5
333,6.5,7,6,6,6.5
334,8.5,7.5,6.5,6.5,7.5
335,8.5,7.5,6.5,6.5,7.5
336,8,7.5,6.5,6,7
337,8,7.5,6.5,6,7
338,8,7.5,6.5,6,7
339,8,7.5,6.5,6,7
340,8,7.5,6.5,6,7
341,8,7.5,6.5,6,7
342,0,0,0,0,0
343,8,7.5,6.5,6,7
344,8,7.5,6.5,6,7
345,8,7.5,6.5,6,7
346,8,7.5,6.5,6,7
347,6,7.5,6,6,6.5
348,0,0,0,0,0
349,0,0,0,0,0
350,0,0,0,0,0
351,8.5,7.5,6.5,6,7
352,8.5,7.5,6.5,6,7
353,8.5,7.5,6.5,6,7
354,8.5,7.5,6.5,6,7
355,8.5,7.5,6.5,6,7
356,8.5,7.5,6.5,6,7
357,8.5,7.5,6.5,6,7
358,7.5,6,5.5,6,6.5
359,7.5,6,5.5,6,6.5
360,7.5,6,5.5,6,6.5
361,7.5,6,5.5,6,6.5
362,7.5,6,5.5,6,6.5
363,7.5,6,5.5,6,6.5
364,0,0,0,0,0
365,0,0,0,0,0
366,0,0,0,0,0
367,6.5,7.5,6,5.5,6.5
368,0,0,0,0,0
369,0,0,0,0,0
370,9,5.5,5.5,6,6.5
371,9,5.5,5.5,6,6.5
372,0,0,0,0,7.5
373,8,8.5,8,6,7.5
374,8,8.5,8,6,7.5
375,8,8.5,8,6,7.5
376,0,0,0,0,0
377,6.5,5,0,5,5.5
378,0,0,0,0,0
379,0,0,0,0,0
380,0,0,0,0,0
381,0,0,0,0,0
382,0,0,0,0,0
383,6,6.5,5.5,6,6
384,7,7,6,6,6.5
385,0,0,0,0,0
386,7,7,6,6.5,6.5
387,7,7,6,6.5,6.5
388,7,7,6,6.5,6.5
389,7,7,6,6.5,6.5
390,7.5,5.5,5,6,6.5
391,7.5,5.5,5,6,6.5
392,0,0,0,0,0
393,0,0,0,0,0
394,0,0,0,0,0
395,6,7,6,5.5,6.5
396,6,7,6,5.5,6.5
397,6,7,6,5.5,6.5
398,6,7,6,5.5,6.5
399,6,7,6,5.5,6.5
400,6,7,6,5.5,6.5
401,6,7,6,5.5,6.5
402,6,7,6,5.5,6.5
403,7,6.5,6,6.5,6.5
404,7,6.5,6,6.5,6.5
405,7,6.5,6,6.5,6.5
406,7,6.5,6,6.5,6.5
407,7,6.5,6,6.5,6.5
408,7,6.5,6,6.5,6.5
409,7,6.5,6,6.5,6.5
410,7,6.5,6,6.5,6.5
411,7,6.5,6,6.5,6.5
412,7,6.5,6,6.5,6.5
413,7,6.5,6,6.5,6.5
414,7,6.5,6,6.5,6.5
415,7,6.5,6,6.5,6.5
416,7,6.5,6,6.5,6.5
417,7,6.5,6,6.5,6.5
418,7,6.5,6,6.5,6.5
419,0,0,0,0,0
420,0,0,0,0,0
421,7.5,7,6,6,6.5
422,7.5,7,6,6,6.5
423,7,8.5,7.5,6,5.5
424,0,0,0,0,0
425,0,0,0,0,0
426,0,0,0,0,0
427,0,0,0,0,0
428,0,0,0,0,0
429,7,5.5,5,7,7
430,9,7,6,6,7
431,6.5,7.5,6,6.5,7
432,6,7,6,6,6
433,0,0,0,0,0
434,7.5,7.5,6.5,7,6.5
435,0,0,0,0,0
436,0,0,0,0,0
437,0,0,0,0,0
438,0,0,0,0,0
439,0,0,0,0,0
440,6,7.5,6,6,6.5
441,0,0,0,0,0
442,0,0,0,0,0
443,0,0,0,0,0
444,0,0,0,0,0
445,0,0,0,0,0
446,9,7.5,6.5,6,7
447,0,0,0,0,6.5
448,0,0,0,0,0
449,8.5,7.5,6.5,6.5,7
450,7,7,6,7,7
451,0,0,0,0,0
452,7.5,7.5,6.5,7,6.5
453,7.5,7.5,6.5,7,6.5
454,0,0,0,0,0
455,7,8,7,6.5,7
456,6,6.5,5.5,6.5,6.5
457,0,0,0,0,6.5
458,0,0,0,0,0
459,0,0,0,0,0
460,0,0,0,0,0
461,6,5.5,5,5,5.5
462,6,5.5,5,5,5.5
463,6,5.5,5,5,5.5
464,6,5.5,5,5,5.5
465,0,0,0,0,0
466,0,0,0,0,0
467,0,0,0,0,0
468,0,0,0,0,0
469,0,0,0,0,0
470,7,8.5,7.5,7,7.5
471,7,8.5,7.5,7,7.5
472,0,0,0,0,0
473,0,0,0,0,0
474,5.5,6,5.5,6,6
475,6,7.5,6,6,6.5
476,0,0,0,0,0
477,0,0,0,0,0
478,0,0,0,0,0
479,0,0,0,0,0
480,0,0,0,0,0
481,0,0,0,0,0
482,0,0,0,0,0
483,0,0,0,0,0
484,0,0,0,0,0
485,0,0,0,0,0
486,0,0,0,0,0
487,0,0,0,0,0
488,0,0,0,0,0
489,0,0,0,0,0
490,0,0,0,0,0
491,0,0,0,0,0
492,0,0,0,0,0
493,0,0,0,0,0
494,0,0,0,0,0
495,0,0,0,0,0
496,8,7.5,6.5,6.5,7
497,7,8,7,6,7
498,7,8,7,6,7
499,7,8,7,6,7
500,8.5,8.5,8,6.5,7.5
501,7,7,6,6,6.5
502,0,0,0,0,0
503,0,0,0,0,7
504,6,6,5.5,6,5.5
505,0,0,0,0,0
506,0,0,0,0,0
507,8,8.5,8,6.5,7.5
508,0,0,0,0,0
509,0,0,0,0,0
510,0,0,0,0,0
511,0,0,0,0,0
512,0,0,0,0,7
513,0,0,0,0,0
514,0,0,0,0,0
515,0,0,0,0,0
516,0,0,0,0,0
517,0,0,0,0,0
518,0,0,0,0,0
519,0,0,0,0,0
520,0,0,0,0,0
521,0,0,0,0,0
522,0,0,0,0,0
523,0,0,0,0,0
524,0,0,0,0,0
525,0,0,0,0,0
526,0,0,0,0,0
527,0,0,0,0,0
528,7.5,8,7,6.5,7
529,7.5,8,7,6.5,7
530,7.5,8,7,6.5,7
531,7.5,8,7,6.5,7
532,7.5,8,7,6.5,7
533,0,0,0,0,7
534,0,0,0,0,0
535,0,0,0,0,0
536,0,0,0,0,0
537,0,0,0,0,0
538,0,0,0,0,0
539,0,0,0,0,6.5
540,0,0,0,0,6.5
541,6.5,7,6,6,6.5
542,6.5,6.5,6,6,6
543,6.5,6.5,6,6,6
544,6.5,6.5,6,6,6
545,0,0,0,0,0
546,0,0,0,0,0
547,0,0,0,0,0
548,0,0,0,0,0
549,0,0,0,0,0
550,0,0,0,0,0
551,0,0,0,0,0
552,0,0,0,0,0
553,0,0,0,0,0
554,0,0,0,0,0
555,0,0,0,0,0
556,0,0,0,0,0
557,0,0,0,0,0
558,0,0,0,0,0
559,0,0,0,0,0
560,0,0,0,0,0
561,0,0,0,0,0
562,0,0,0,0,0
563,0,0,0,0,0
564,0,0,0,0,0
565,0,0,0,0,0
566,0,0,0,0,0
567,0,0,0,0,0
568,0,0,0,0,0
569,7.5,7.5,6.5,7,6.5
570,6.5,8.5,7.5,7,7
571,0,0,0,0,0
572,0,0,0,0,0
573,0,0,0,0,0
574,0,0,0,0,0
575,0,0,0,0,0
576,6,7.5,6,6,6.5
577,8.5,9,8.5,7,8
578,0,0,0,0,0
579,0,0,0,0,0
580,0,0,0,0,0
581,0,0,0,0,6.5
582,0,0,0,0,6.5
583,0,0,0,0,6.5
584,0,0,0,0,6.5
585,0,0,0,0,6.5
586,0,0,0,0,6.5
587,8,7.5,6.5,6.5,7
588,8,7.5,6.5,6.5,7
589,8,7.5,6.5,6.5,7
590,6,7.5,6,6,6.5
591,0,0,0,0,0
592,7,7.5,6.5,6,7
593,0,0,0,0,0
594,0,0,0,0,0
595,7,7.5,6.5,6.5,7
596,0,0,0,0,0
597,8,8.5,8,6,7
598,0,0,0,0,0
599,0,0,0,0,0
600,0,0,0,0,0
601,6.5,6,5.5,6,6.5
602,0,0,0,0,0
603,0,0,0,0,0
604,0,0,0,0,0
605,0,0,0,0,0
606,0,0,0,0,0
607,6.5,6.5,6,6.5,6.5
608,6.5,6.5,6,6.5,6.5
609,9,7.5,6.5,7,7.5
610,0,0,0,0,0
611,0,0,0,0,0
612,6,7.5,6,6,6.5
613,7.5,8,7,6.5,7
614,0,0,0,0,0
615,9,8,7.5,6.5,7.5
616,9,8,7.5,6.5,7.5
617,9,8,7.5,6.5,7.5
618,9,8,7.5,6.5,7.5
619,9,8,7.5,6.5,7.5
620,9,7.5,6.5,6.5,7.5
621,0,0,0,0,0
622,8,7,6,6,7
623,0,0,0,0,0
624,0,0,0,0,7.5
625,0,0,0,0,0
626,7.5,7,6,6,7
627,0,0,0,0,0
628,0,0,0,0,0
629,0,0,0,0,0
630,0,0,0,0,0
631,0,0,0,0,0
632,0,0,0,0,0
633,0,0,0,0,0
634,0,0,0,0,0
635,0,0,0,0,0
636,0,0,0,6.5,7.5
637,0,0,0,6.5,7.5
638,0,0,0,6.5,7.5
639,0,0,0,6.5,7.5
640,0,0,0,6.5,7.5
641,0,0,0,6.5,7.5
642,8.5,8.5,8,7,8
643,8.5,8.5,8,7,8
644,8.5,8.5,8,7,8
645,8.5,8.5,8,7,8
646,8,8.5,8,6,7.5
647,8,8.5,8,6,7.5
648,8,8.5,8,6,7.5
649,8,8.5,8,6,7.5
650,8,8.5,8,6,7.5
651,8,8.5,8,6,7.5
652,0,0,0,0,0
653,0,0,0,0,0
654,0,0,0,0,0
655,7,7.5,6.5,7,7
656,8.5,7.5,6.5,6.5,7.5
657,0,0,0,0,0
658,0,0,0,0,0
659,0,0,0,0,0
660,0,0,0,0,0
661,7.5,7,6,5.5,6.5
662,0,0,0,0,0
663,8,7,6,6,7
664,0,0,0,0,0
665,0,0,0,0,0
666,0,0,0,0,0
667,8,7.5,6.5,6.5,7
668,8,7.5,6.5,6.5,7
669,8,7.5,6.5,6.5,7
670,8,7.5,6.5,6.5,7
671,8,7.5,6.5,6.5,7
672,8,7.5,6.5,6.5,7
673,8,7.5,6.5,6.5,7
674,8,7.5,6.5,6.5,7
675,8,7.5,6.5,6.5,7
676,8,7.5,6.5,6.5,7
677,8,7.5,6.5,6.5,7
678,8,7.5,6.5,6.5,7
679,0,0,0,0,0
680,0,0,0,0,0
681,0,0,0,0,0
682,0,0,0,0,0
683,0,0,0,0,0
684,0,0,0,0,0
685,0,0,0,0,0
686,0,0,0,0,0
687,0,0,0,0,0
688,0,0,0,0,0
689,0,0,0,0,0
690,0,0,0,0,0
691,6.5,7,6,6,6.5
692,6.5,7,6,6,6.5
693,0,0,0,0,0
694,0,0,0,0,0
695,0,0,0,0,0
696,0,0,0,0,0
697,0,0,0,0,0
698,7.5,7.5,6.5,6.5,7
699,0,0,0,0,7
700,0,0,0,0,0
701,0,0,0,0,0
702,0,0,0,0,0
703,7,6.5,6,6,6.5
704,0,0,0,0,0
705,8.5,8.5,8,6.5,7.5
706,0,0,0,0,0
707,0,0,0,0,0
708,7,8,7,6.5,7
709,7,8,7,6.5,7
710,0,0,0,0,0
711,0,0,0,0,0
712,0,0,0,0,0
713,0,0,0,0,0
714,0,0,0,0,0
715,0,0,0,0,0
716,6.5,7,6,6,5.5
717,0,0,0,0,0
718,0,0,0,0,0
719,7,6.5,6,7,7
720,0,0,0,0,0
721,0,0,0,0,0
722,7,6.5,6,6,6.5
723,7,6.5,6,6,6.5
724,7,6.5,6,6,6.5
725,7,6.5,6,6,6.5
726,7,6.5,6,6,6.5
727,7,6.5,6,6,6.5
728,0,0,0,0,0
729,0,0,0,0,0
730,0,0,0,0,0
731,0,0,0,0,0
732,7,6.5,6,6,6.5
733,8.5,7,6,6,7
734,0,0,0,0,0
735,9,7.5,6.5,6,7
736,9,7.5,6.5,6,7
737,1,1,0,1,1
738,8,9,8.5,7,7.5
739,8,9,8.5,7,7.5
740,8,9,8.5,7,7.5
741,8,9,8.5,7,7.5
742,8,9,8.5,7,7.5
743,8,9,8.5,7,7.5
744,8,9,8.5,7,7.5
745,8,9,8.5,7,7.5
746,8,9,8.5,7,7.5
747,8,9,8.5,7,7.5
748,0,0,0,0,0
749,0,0,0,0,0
750,0,0,0,0,0
751,0,0,0,0,0
752,0,0,0,0,0
753,0,0,0,0,0
754,6.5,7.5,6,6.5,7
755,7.5,6.5,6,5.5,6.5
756,7.5,6.5,6,5.5,6.5
757,7.5,6.5,6,5.5,6.5
758,7.5,6.5,6,5.5,6.5
759,0,0,0,0,0
760,8,8.5,8,6,7
761,7,8,7,6.5,7
762,0,0,0,0,0
763,6,7.5,6,6,6.5
764,7.5,9,8.5,6.5,7.5
765,8,8.5,8,6,7
766,8,8.5,8,6,7
767,8.5,8,7,6.5,7.5
768,0,0,0,0,0
769,0,0,0,0,0
770,0,0,0,0,0
771,0,0,0,0,0
772,0,0,0,0,0
773,9,8.5,8.5,6,7.5
774,0,0,0,0,0
775,9,8.5,8.5,6,7.5
776,0,0,0,0,0
777,6,7.5,6,6,6.5
778,6.5,7.5,6,5.5,6.5
779,0,0,0,0,0
780,7,8.5,7.5,6,7
781,7,8.5,7.5,6,7
782,7,8.5,7.5,6,7
783,7,8.5,7.5,6,7
784,7,8.5,7.5,6,7
785,0,0,0,0,0
786,0,0,0,0,0
787,0,0,0,0,0
788,0,0,0,0,0
789,0,0,0,0,0
790,0,0,0,0,0
791,0,0,0,0,0
792,0,0,0,0,0
793,0,0,0,0,0
794,0,0,0,0,0
795,0,0,0,0,0
796,8.5,7,6,6,7
797,8.5,7,6,6,7
798,8.5,7,6,6,7
799,8.5,7,6,6,7
800,8.5,7,6,6,7
801,8.5,7,6,6,7
802,8.5,7,6,6,7
803,8.5,7,6,6,7
804,0,0,0,0,0
805,7,7.5,6.5,6,6
806,7.5,8.5,7.5,6,7
807,7.5,8.5,7.5,6,7
808,0,0,0,0,0
809,0,0,0,0,0
810,0,0,0,0,0
811,0,0,0,0,0
812,0,0,0,0,0
813,0,0,0,0,0
814,0,0,0,0,0
815,0,0,0,0,0
816,0,0,0,0,0
817,0,0,0,0,0
818,0,0,0,0,0
819,0,0,0,0,0
820,8.5,7,6,6,7
821,8.5,7,6,6,7
822,8.5,7,6,6,7
823,0,0,0,0,0
824,0,0,0,0,0
825,0,0,0,0,0
826,0,0,0,0,0
827,8.5,8.5,8,6.5,7.5
828,8.5,8.5,8,6.5,7.5
829,8.5,8.5,8,6.5,7.5
830,8.5,8.5,8,6.5,7.5
831,0,0,0,0,0
832,0,0,0,0,0
833,7,6,5.5,6,6.5
834,7,6,5.5,6,6.5
835,7.5,7,6,5.5,6.5
836,7.5,7,6,5.5,6.5
837,7.5,7,6,5.5,6.5
838,7.5,7,6,5.5,6.5
839,7.5,7,6,5.5,6.5
840,7.5,7,6,5.5,6.5
841,0,0,0,0,0
842,6,6,5.5,6,6
843,0,0,0,0,0
844,0,0,0,0,0
845,0,0,0,0,0
846,0,0,0,0,0
847,6.5,7.5,6,6.5,7
848,0,0,0,0,0
849,8,8,7,7,7.5
850,8,8,7,7,7.5
851,8,8,7,7,7.5
852,9,8.5,8.5,6.5,7.5
853,8.5,8,7,6.5,7.5
854,6,6.5,5.5,6.5,6.5
855,8,8.5,8,6,7
856,8,8.5,8,6,7
857,8,8.5,8,6,7
858,8,8.5,8,6,7
859,8,8.5,8,6,7
860,8,8.5,8,6,7
861,8,8.5,8,6,7
862,0,0,0,0,0
863,0,0,0,0,0
864,6,6,5.5,5,6
865,0,0,0,0,0
866,0,0,0,0,0
867,0,0,0,0,0
868,0,0,0,0,0
869,6.5,6.5,6,6,6.5
870,6.5,6.5,6,6,6.5
871,7,6.5,6,6,6.5
872,0,0,0,0,0
873,0,0,0,0,0
874,7,7,6,6,6.5
875,7,7,6,6,6.5
876,7,7,6,6,6.5
877,7,7,6,6,6.5
878,0,0,0,0,0
879,0,0,0,0,0
880,0,0,0,0,0
881,7.5,8,7,6.5,7
882,7.5,8,7,6.5,7
883,8.5,8.5,8,7,7.5
884,0,0,0,0,0
885,8,7,6,6,7
886,0,0,0,0,0
887,0,0,0,0,0
888,0,0,0,0,0
889,0,0,0,0,0
890,0,0,0,0,0
891,0,0,0,0,0
892,0,0,0,0,0
893,0,0,0,0,0
894,0,0,0,0,0
895,0,0,0,0,0
896,0,0,0,0,0
897,5.5,6,5.5,6,6
898,0,0,0,0,0
899,8,7,6,6,7
900,7.5,7,6,6,6.5
901,7.5,7,6,6,6.5
902,7.5,7,6,6,6.5
903,7.5,7,6,6,6.5
904,7.5,7,6,6,6.5
905,7.5,7,6,6,6.5
906,7.5,7,6,6,6.5
907,7.5,7,6,6,6.5
908,7.5,7,6,6,6.5
909,0,0,0,0,0
910,5.5,6.5,5.5,5.5,6
911,7.5,7,6,6,6.5
912,0,0,0,0,6.5
913,8,7,6,6,7
914,0,0,0,0,0
915,0,0,0,0,0
916,7.5,7.5,6.5,6,7
917,7.5,7.5,6.5,6,7
918,7.5,7.5,6.5,6,7
919,7.5,7.5,6.5,6,7
920,7,6.5,6,6,6.5
921,0,0,0,0,0
922,8.5,7.5,6.5,6.5,7.5
923,8,7,6,6,7
924,0,0,0,0,0
925,6.5,7.5,6,6,6.5
926,0,0,0,0,0
927,0,0,0,0,0
928,0,0,0,0,0
929,0,0,0,0,0
930,0,0,0,0,0
931,7,7.5,6.5,6,7
932,7,6.5,6,6.5,6.5
933,0,0,0,0,7
934,0,0,0,0,7
935,6.5,7.5,6,6,6
936,0,0,0,0,7
937,0,0,0,0,0
938,0,0,0,0,0
939,0,0,0,0,0
940,0,0,0,0,0
941,0,0,0,0,0
942,8.5,6.5,6,6.5,7
943,8.5,6.5,6,6.5,7
944,8.5,6.5,6,6.5,7
945,8.5,6.5,6,6.5,7
946,8.5,6.5,6,6.5,7
947,7.5,8,7,6,7
948,7.5,8,7,6,7
949,8.5,6.5,6,6.5,7
950,8.5,6.5,6,6.5,7
951,8.5,6.5,6,6.5,7
952,0,0,0,0,0
953,7.5,7.5,6.5,6,7
954,7.5,7.5,6.5,6,7
955,0,0,0,0,7
956,7,6.5,6,6,6.5
957,8,7,6,6,7
958,8,9,8.5,6.5,7.5
959,0,0,0,0,0
960,7.5,7.5,6.5,6,7
961,7.5,7.5,6.5,6,7
962,7.5,7.5,6.5,6,7
963,7.5,7.5,6.5,6,7
964,7.5,7.5,6.5,6,7
965,7.5,7.5,6.5,6,7
966,7.5,7.5,6.5,6,7
967,7.5,7.5,6.5,6,7
968,7.5,7.5,6.5,6,7
969,7.5,7.5,6.5,6,7
970,7.5,7.5,6.5,6,7
971,0,0,0,0,6.5
972,0,0,0,0,7.5
973,0,0,0,0,0
974,8.5,8.5,8,6.5,7.5
975,6.5,7.5,6,6.5,7
976,0,0,0,0,0
977,8.5,8.5,8,7,7.5
978,0,0,0,0,0
979,0,0,0,0,0
980,7.5,7.5,6.5,6,7
981,7.5,7.5,6.5,6,7
982,0,0,0,0,0
983,0,0,0,0,0
984,0,0,0,0,7.5
